Pais_vendedor,industria,2000/Enero,2000/Febrero,2000/Marzo,2000/Abril,2000/Mayo,2000/Junio,2000/Julio,2000/Agosto,2000/Septiembre,2000/Octubre,2000/Noviembre,2000/Diciembre,2001/Enero,2001/Febrero,2001/Marzo,2001/Abril,2001/Mayo,2001/Junio,2001/Julio,2001/Agosto,2001/Septiembre,2001/Octubre,2001/Noviembre,2001/Diciembre,2002/Enero,2002/Febrero,2002/Marzo,2002/Abril,2002/Mayo,2002/Junio,2002/Julio,2002/Agosto,2002/Septiembre,2002/Octubre,2002/Noviembre,2002/Diciembre,2003/Enero,2003/Febrero,2003/Marzo,2003/Abril,2003/Mayo,2003/Junio,2003/Julio,2003/Agosto,2003/Septiembre,2003/Octubre,2003/Noviembre,2003/Diciembre,2004/Enero,2004/Febrero,2004/Marzo,2004/Abril,2004/Mayo,2004/Junio,2004/Julio,2004/Agosto,2004/Septiembre,2004/Octubre,2004/Noviembre,2004/Diciembre,2005/Enero,2005/Febrero,2005/Marzo,2005/Abril,2005/Mayo,2005/Junio,2005/Julio,2005/Agosto,2005/Septiembre,2005/Octubre,2005/Noviembre,2005/Diciembre,2006/Enero,2006/Febrero,2006/Marzo,2006/Abril,2006/Mayo,2006/Junio,2006/Julio,2006/Agosto,2006/Septiembre,2006/Octubre,2006/Noviembre,2006/Diciembre,2007/Enero,2007/Febrero,2007/Marzo,2007/Abril,2007/Mayo,2007/Junio,2007/Julio,2007/Agosto,2007/Septiembre,2007/Octubre,2007/Noviembre,2007/Diciembre,2008/Enero,2008/Febrero,2008/Marzo,2008/Abril,2008/Mayo,2008/Junio,2008/Julio,2008/Agosto,2008/Septiembre,2008/Octubre,2008/Noviembre,2008/Diciembre,2009/Enero,2009/Febrero,2009/Marzo,2009/Abril,2009/Mayo,2009/Junio,2009/Julio,2009/Agosto,2009/Septiembre,2009/Octubre,2009/Noviembre,2009/Diciembre,2010/Enero,2010/Febrero,2010/Marzo,2010/Abril,2010/Mayo,2010/Junio,2010/Julio,2010/Agosto,2010/Septiembre,2010/Octubre,2010/Noviembre,2010/Diciembre,2011/Enero,2011/Febrero,2011/Marzo,2011/Abril,2011/Mayo,2011/Junio,2011/Julio,2011/Agosto,2011/Septiembre,2011/Octubre,2011/Noviembre,2011/Diciembre,2012/Enero,2012/Febrero,2012/Marzo,2012/Abril,2012/Mayo,2012/Junio,2012/Julio,2012/Agosto,2012/Septiembre,2012/Octubre,2012/Noviembre,2012/Diciembre,2013/Enero,2013/Febrero,2013/Marzo,2013/Abril,2013/Mayo,2013/Junio,2013/Julio,2013/Agosto,2013/Septiembre,2013/Octubre,2013/Noviembre,2013/Diciembre,2014/Enero,2014/Febrero,2014/Marzo,2014/Abril,2014/Mayo,2014/Junio,2014/Julio,2014/Agosto,2014/Septiembre,2014/Octubre,2014/Noviembre,2014/Diciembre,2015/Enero,2015/Febrero,2015/Marzo,2015/Abril,2015/Mayo,2015/Junio,2015/Julio,2015/Agosto,2015/Septiembre,2015/Octubre,2015/Noviembre,2015/Diciembre,2016/Enero,2016/Febrero,2016/Marzo,2016/Abril,2016/Mayo,2016/Junio,2016/Julio,2016/Agosto,2016/Septiembre,2016/Octubre,2016/Noviembre,2016/Diciembre,2017/Enero,2017/Febrero,2017/Marzo,2017/Abril,2017/Mayo,2017/Junio,2017/Julio
Oceanía,"Ganadería, Apicultura, Caza, Pesca",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,414000,1545550,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1670620,N/D,N/D,N/D,1065350,N/D,N/D,N/D,N/D,N/D,N/D,N/D,88075,N/D,N/D,N/D,899928,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Oceanía,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40492634,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Oceanía,Clasificación industrial,7954385,409739,13681902,7812025,1122204,791543,2075735,2311946,1186283,1365073,695827,3457924,839082,1303872,1619050,2603949,1019492,1013159,7727803,704455,1288102,811568,1089668,927971,10013246,821210,6302179,13160052,17969128,9656089,5428564,1007987,357683,583611,331666,4916809,2772255,2622595,908781,311960,205273,126294,249651,690896,1131825,3463383,333345,517079,4695359,3183216,2399575,753856,410832,653095,1066019,1865743,749147,371152,707683,1423732,1222798,1191113,537411,2014078,1145198,3373487,1014071,1758114,1229884,4647583,2614552,1567433,899311,7267618,1433984,2181192,1089622,885629,2442652,3631932,2188702,3576652,2254809,1646350,33612275,59153004,36832343,40492634,18873565,33644992,15745818,39222220,18726375,19790995,39253667,36974895,26544956,24080487,19186367,35462082,15847642,27277515,14450275,22065015,27235792,22719947,60595384,25000741,7615384,7434389,44141264,18103160,13505618,12952029,31978886,7569277,19646892,28645040,17054919,14042491,24302747,34690087,26246289,19538018,14642536,31524622,22252836,26626907,19496900,24002079,15938988,13248094,13565118,22801559,35873005,26620618,11324403,26607210,23340531,23518884,12707557,12054033,18717046,14663935,23088746,24771424,21008074,20912692,22722646,16287093,28836706,22283996,21090769,11244146,31116282,17003446,16539545,29266619,24154264,9924677,23975683,13634814,32352524,11878951,17560095,18814970,21681478,21652046,9733797,9213358,8887785,15803606,6945895,12666218,12393479,8111161,15101416,6987323,6517251,6865547,3519122,8111743,20480336,11282873,10015218,11889884,7888513,6756083,3704460,4329905,4482027,7533474,5507087,7804844,11343154,6685103,6806919,6964635,9810474,6397068,5454306,10122738,9882433,11849313,10022855,8328113,18470078,10437656,9758546,16922506,6727335
América del Norte,Industrias Manufactureras,759959105,738482015,751118690,806263222,1137689766,1074478492,1011953319,1212465448,1025727344,1181676922,1044107715,1207989294,1039535457,1081889280,1167669006,991909504,969406508,821251417,864447804,926039351,804862046,989426750,1030242338,1021431447,567041262,509922444,545897036,545749676,622455892,605777203,600753760,651892702,561236681,1177999350,1110973178,1132182581,819237038,666363939,710743328,766909839,800316920,757414490,827061398,652764279,724754023,824304353,794983704,859362672,1114935995,843409034,1132266424,872914661,946471316,1049979506,980547271,1617089020,914756352,1044491058,1047751398,947787239,936379304,939755727,1092682383,1047650359,1059073856,1004675893,909778195,1071728591,1069012261,1175940476,1174892196,1170591960,1047909466,1016013181,1166190731,1094140803,1910245615,1203113800,1125655727,1199730375,1175835485,1360947259,1174834208,1127925668,1538141266,1359353778,1538419702,N/D,1548381725,1525063146,1663777134,1626244677,1581757722,1867439905,1797150647,1592622335,1680225107,1577378545,1609282977,1815009251,1631007552,1771118996,1864239427,1722907705,1780768136,1729511255,2002666341,1380183039,1150812476,1114561144,1130277735,1075126259,1012184580,1252291542,1207003885,1169194025,1351324519,1449422838,1392897965,1487807565,1390398899,1570072412,1851266731,1660285895,1457332108,1501568864,1570283305,1588381545,1596978324,1542464579,1684116944,1544871286,1857712940,1829021969,2154828443,1807765935,2081606646,2103276519,2008115158,2399082281,2041628425,2169722865,2061118213,1982304809,1970031789,1942368457,2048184806,1965248616,2170024902,2078583293,2123303977,2226374948,1980742104,2264402103,2110772106,1956868488,2046431031,1926159593,2084245360,2087892151,2250891964,1989903227,2403591593,2212488740,2076844682,2332678887,2199931008,2146464252,1959399244,1898800628,2138940243,2130328337,2150579433,2116138366,2215863722,2233615146,2210186771,2312551261,2069849147,2189860221,1985535814,1926204497,2017295258,2026069613,1967350801,2218559664,2154058172,2019622389,1980582512,2098552196,1986171607,1970500363,2042670938,2087121964,1987766506,2121457044,2137805467,1991291923,2003865814,2262568951,2173888269,2058241925,2126241496,1980455993,2144878716,2039809293,2444015627,2058447773,2258810418,2250780927,2566075032
América del Norte,Industrias Extractivas,5669696,783324,823258,2025820,1698617,1790452,1426992,1844890,1771759,1767219,3230769,980841,1766258,1876979,2265022,1916944,2232704,1973685,3017912,2045299,1773664,1648436,1642132,1256458,1206552,1182720,1279433,1824571,1423620,1152253,1730321,1121521,1196466,3383896,1462847,2088755,3011786,1870793,3026157,3195238,2192637,1387173,1602173,2513600,1468466,1825410,1514020,2285265,788966,672405,1127485,1033924,1092488,1160957,1308761,1196256,1170377,1136800,1060532,900360,3903542,874925,4182681,3129925,869107,985927,3157439,2506768,1209615,6949233,1282883,2938233,2934776,5272998,1282696,954870,1400874,4432129,5904704,1351658,3598048,2667754,3884904,2261451,3238258,4468206,1757696,N/D,3064266,4667922,4984558,4096977,4240878,3952644,8719128,996056,3811584,590098,1301174,736345,5658822,750676,3869186,1034642,3579757,4494547,1216213,1015056,4363875,980460,1089700,1047439,1014298,1856191,4308665,1183734,913811,1289483,696106,526390,3037310,1012932,1092881,1411211,782720,1257561,3361547,1239361,1262154,7906535,1101679,939618,1800630,1484533,1437578,4954490,1462273,3676665,1486490,3637221,7238643,1520726,7695731,1460850,11960873,989127,2442891,1858583,1526660,2422032,8164077,8264151,7437212,3835525,1937971,18630128,2161648,1152045,1665558,1399942,1237573,4209996,2419742,4864650,2775570,15379876,1515782,8608083,19684634,12641980,16235785,18227431,13311310,15980360,14411497,14257340,11791612,11517459,10834822,16897768,15977489,8511616,8426429,10432126,10962407,6635793,8517397,3242900,4819222,8299920,2112707,8597998,2498707,1267374,5981468,5566573,2722356,3527157,3958922,5668403,7815812,10931045,8587855,6082357,3703540,2327408,2325017,5666783,2961989,2758214,1207457
América del Norte,Agricultura y Silvicultura,8572891,26464878,27264853,19148995,25487703,21819327,20171329,31379402,24303987,21724070,28716012,45512127,19943654,20352701,56689654,24450344,22466378,17151996,20008364,31184658,26339601,52683296,39593161,41331281,12960160,18404069,61082711,18453997,13332909,22552266,11531007,23600055,28473384,44315469,40783073,77969292,14617598,20389798,21780584,27520686,22880482,25276248,28897300,23948978,41343546,53867603,60326853,69759323,12737585,15492159,29205108,27774377,27143274,30383258,29104799,28500549,16735006,35330977,32191144,37000075,19464913,32997566,29485557,41616191,29496509,55334956,44595066,40698502,40019748,55880123,57863284,59627783,19650180,53089323,28530804,40051678,40456552,37489240,41214193,39754599,47974313,50072152,64827863,68502188,31872354,57056368,99649374,N/D,113772658,81197643,85046016,103535120,102975611,114211585,126300495,131144559,94212040,81356171,134492398,155963572,167581166,113477207,175915612,162967926,60392637,195327531,154837475,90374332,86918205,92657390,86644993,98266389,79079440,83544865,126323610,108640203,57980254,127922237,82573369,135559708,50164626,120225829,185321776,193033905,81858156,72380856,85895011,89058102,108375635,169450021,132627424,172479092,88861742,104374374,194788918,174389141,160899257,127456053,135945694,157438730,174321874,220245152,188239200,190113484,140502044,210878044,133103980,199990182,105010952,97064142,134589528,135925725,122540902,241984180,160207864,151857397,156900313,145304789,119592116,166580802,129447869,101766979,95233443,64194621,66629813,204167808,124164404,91056066,27515583,50246360,34431519,91485354,59657808,47209424,51143854,62386413,50735249,51601371,33592769,42153150,38884922,60523591,32828475,58623314,43796131,54370628,41951229,45711894,54890741,46043163,57592410,43046780,29254325,43563682,39354666,61260290,62409626,53956319,48573276,39418013,63892241,58555482,69402043,69985432,23537750,86485748,105036019,103655145,87197449,68101961,49537940
América del Norte,Servicios y Productos no Clasificados,7313903,6846046,57754091,21590980,18998744,7964805,11585605,10911662,4428189,7177916,7094999,20187718,3690006,16080680,2995337,328113,498233,2056197,1210217,1529221,467207,712475,1650182,1096049,219711,147818,37379,114608,32745,75686,164762,847625,734123,910136,480499,472096,861337,54211,161299,586864,442822,40792,219515,68638,2521538,1356293,880189,352722,214800,175937,2074648,602944,1556883,3037533,1459263,1390200,6987522,2123379,6738158,8095955,7386815,6672204,7242970,7181188,7542678,3114705,6714228,6207892,3768406,4677798,4142450,1896513,396975,381900,728488,786281,1538034,2083020,697222,2325859,503006,1411810,2517040,2379459,4826012,9401499,8002384,N/D,2379512,2496515,7203341,7277798,5010309,4908000,4605857,3705343,9144746,9396437,18963294,10172960,12599682,10601205,6810890,9349065,6780458,14848773,5691726,18382199,5774169,10815600,13308355,12743108,12205587,7690943,10483785,9843839,8419250,15654517,9150835,10797893,8521017,9465697,12967818,10604954,11200987,12863677,14712290,14959003,20398600,16521168,13179095,15969585,12346329,11939937,16753841,21051489,25718501,23653398,20061469,26051894,20951413,19180923,29015408,22336211,27574421,32578848,29066054,28096550,30746862,29657480,34142904,55184529,34857326,36129510,32014054,32903081,44048317,30409089,30762725,32317481,37082356,27643614,41180736,40760895,42246007,47111456,27568741,22891241,18590428,18343716,22731996,22394429,28310799,30292645,25139956,37927184,21150654,29164643,21356642,27683202,24718650,27491887,35017883,32009041,37944948,31834348,34970841,33201386,37610422,36146287,31478859,56413785,29996176,33563561,34439422,35554146,37173038,39461251,39909240,39493271,40648744,34861269,35127362,36403316,39585951,32473543,39902184,39646224,36061619,47117487,47241155
América del Norte,"Ganadería, Apicultura, Caza, Pesca",6500,51200,46960,314776,78476,486685,420422,268558,437387,315087,165481,445653,171308,293928,285304,143543,497845,289136,492418,364740,336526,558294,514146,439263,431280,118080,766823,144956,180048,392753,137723,170430,467998,45391,502345,731880,243869,643513,193799,432719,891133,294048,198409,918582,128439,818914,52252,286001,4277,3545,13182,41651,2448,2621,2068,18402,56825,87584,55543,16182,174450,388950,235788,88957,348168,292033,122756,433813,389396,182358,281557,187541,299719,159813,538446,92999,402000,26704,75827,196479,205214,565250,335774,80373,392065,33120,371560,N/D,33735,280082,66909,370486,385007,250050,131223,321073,766042,594924,69598,369166,137859,381964,504423,105087,135742,633571,413994,155961,368128,91005,535395,366539,1102332,31120,849164,1085734,1730885,630064,203833,352020,871080,1961660,823247,1356173,730502,788021,1017298,420900,493096,663081,812498,478581,10400,853031,1058000,279752,204533,312072,525055,409015,967763,781184,761558,174580,27800,409558,368105,335622,709812,1856,93925,356281,169775,287093,46652,9692,146334,520837,116461,565307,749795,221695,598023,82880,391048,537721,36980,1290846,900,N/D,900,N/D,N/D,N/D,N/D,4150,2300,N/D,N/D,N/D,N/D,4228,N/D,N/D,1256,N/D,N/D,N/D,N/D,5480,1968,N/D,N/D,37557,54094,28515,23884,15000,9121,7298,21961,34936,58226,60140,42360,26578,8915,18571,9845,2348,4130
América del Norte,( Blank ),N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1592409104,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
América del Norte,Clasificación industrial,781522095,772627463,837007852,849343793,1183953306,1106539761,1045557667,1256869960,1056668666,1212661214,1083314976,1275115633,1065106683,1120493568,1229904323,1018748448,995101668,842722431,889176715,961163269,833779044,1045029251,1073641959,1065554498,581858965,529775131,609063382,566287808,637425214,629950161,614317573,677632333,592108652,1226654242,1154201942,1213444604,837971628,689322254,735905167,798645346,826723994,784412751,857978795,680214077,770216012,882172573,857757018,932045983,1128681623,859753080,1164686847,902367557,976266409,1084563875,1012422162,1648194427,939706082,1083169798,1087796775,993799811,967309024,980689372,1133829379,1099666620,1097330318,1064403514,964367684,1121575566,1114399426,1243629988,1238462370,1235242030,1071191116,1074917215,1197271165,1136026631,1954043075,1247144893,1173547673,1243358970,1228116066,1415664225,1246399789,1201149139,1578469955,1430312971,1648200716,1592409104,1667631896,1613705308,1761077958,1741525058,1694369527,1990762184,1936907350,1728789366,1788159519,1669316175,1764109441,1982251294,1816985081,1896330048,2051339538,1896364425,1851656730,1944815677,2164825749,1490110587,1248236853,1219105599,1231856178,1187549734,1105586237,1345414661,1348969109,1289947535,1420368719,1594919139,1485522108,1635043576,1452992932,1702738530,2051472453,1866692138,1551904473,1588858979,1675269451,1694058911,1727507809,1737005384,1831837640,1734738162,1960732041,1947673844,2368866780,2008440807,2269891210,2258374707,2166133866,2586619141,2245108118,2411450850,2286830110,2196389934,2150096927,2187224034,2213165836,2195529553,2308019188,2207728803,2300294411,2426105634,2145747319,2546638411,2304978647,2160268786,2249687643,2103546353,2236382220,2288755683,2419409557,2123745511,2543023537,2322391786,2188887120,2599875748,2353216915,2270310488,2025190789,1980032684,2212340443,2262435551,2251859350,2209620795,2306559029,2348190233,2293866586,2404834734,2135633380,2276594341,2065116875,2022735819,2093568045,2127134094,2060055543,2311400433,2239497639,2101778569,2077902897,2189047046,2077357551,2078558926,2104420146,2165554138,2067596156,2223866568,2240134371,2088251650,2096316373,2347155936,2286267027,2162624657,2239416982,2092987238,2211748317,2161122570,2591287762,2207434496,2385041320,2368760937,2664065714
Paises no declarados,Industrias Manufactureras,559379,1029768,339666,200410,54158,258014,319318,534373,218169,573521,470268,95795,292353,336363,54958,3515652,509861,251276,185125,317924,507633,298870,115228,532825,517,2879,13025,19633,3710,1889,983,2060,2158,1082865,235975,499854,231846,191005,331629,263233,363102,616923,415771,63225,183303,419567,853289,507850,N/D,N/D,N/D,N/D,N/D,19388,268,N/D,552,N/D,4133,2896,N/D,N/D,N/D,2337,4285,N/D,N/D,15246,87518,8537,1785,1788,N/D,21848,10,N/D,N/D,46128,N/D,N/D,N/D,N/D,N/D,N/D,4645,32878,58176,N/D,60542,10607,55208,N/D,27693,6395,52005,19794,17537,66449,58641,54526,98784,20949,52258,57035,1433,313172,41164,37946,N/D,N/D,34201,N/D,1177,N/D,1696,N/D,300,N/D,N/D,N/D,N/D,N/D,N/D,N/D,255384,10,N/D,58,N/D,N/D,N/D,30,N/D,1410,110208,N/D,36,5750,N/D,N/D,N/D,N/D,477,603734,N/D,N/D,26800,N/D,1000,17040,N/D,150,1204,N/D,292,N/D,N/D,N/D,N/D,19402,N/D,N/D,N/D,N/D,4792,476,N/D,37009,6,N/D,N/D,750,N/D,N/D,N/D,1093,N/D,N/D,1200,7170,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,67579,N/D,N/D,N/D,N/D,N/D,695,N/D,N/D,3072,N/D,N/D,1000,N/D,N/D,N/D,N/D,N/D,1340,N/D,N/D
Paises no declarados,Industrias Extractivas,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Paises no declarados,Agricultura y Silvicultura,36,N/D,N/D,N/D,N/D,51040,10602,N/D,N/D,2870,N/D,1643,N/D,N/D,18744,N/D,N/D,N/D,N/D,N/D,N/D,9116,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,40568,N/D,1680,N/D,N/D,N/D,17250,N/D,N/D,N/D,N/D,N/D,169402,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,27650,30164,N/D,28577,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Paises no declarados,Servicios y Productos no Clasificados,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,6,1,N/D,50,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,5,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,3,N/D,N/D,N/D,2,N/D,386100,N/D,2273700,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1,N/D,N/D,N/D,N/D,909230,N/D,357870,1073611,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,456300,1863225,146277,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,750,510,N/D,N/D,1895,448512,N/D,N/D,2595571,303557,N/D,N/D,N/D,N/D,11,N/D,20,N/D,N/D,N/D,N/D,N/D,79,N/D,N/D,N/D,318,N/D,N/D,210,N/D,804,215,10,N/D,N/D,N/D,N/D,260,N/D,3,N/D,N/D,14,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
